,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
3,1.355,0,lower,0.28746333439713767,0.006974419158048457,,,,,
4,1.355,ATE,upper,0.1319122235472845,0.013387241761878612,,,,,
5,1.355,ATE,lower,-0.07564194475631904,0.011832889089773946,,,,,
6,1.355,ATT,upper,0.12335063060092288,0.0116457201430829,,,,,
7,1.355,ATT,lower,-0.09124528207731417,0.015735065185025505,,,,,
8,1.355,ATC,upper,0.06604529910465659,0.010465607931589363,,,,,
9,1.355,ATC,lower,-0.13717792869931314,0.015339529514475678,,,,,
0,1.356,1,upper,0.41957424392055853,0.01194023824659013,,,,,
1,1.356,1,lower,0.2934339560430235,0.008401307129015287,,,,,
2,1.356,0,upper,0.36931810149410704,0.009061089204180615,,,,,
3,1.356,0,lower,0.287391246608451,0.006972743472067351,,,,,
4,1.356,ATE,upper,0.13218299731210745,0.01339119124273797,,,,,
5,1.356,ATE,lower,-0.07588414545108366,0.011833008623661429,,,,,
6,1.356,ATT,upper,0.12353992706068376,0.011643237433347236,,,,,
7,1.356,ATT,lower,-0.09159309160654958,0.015743955891370023,,,,,
8,1.356,ATC,upper,0.06622254635124204,0.010461685204519762,,,,,
9,1.356,ATC,lower,-0.13749881410430942,0.01534821074824725,,,,,
0,1.357,1,upper,0.4197724231705263,0.01194586706796379,,,,,
1,1.357,1,lower,0.2933243697604065,0.008398021460919176,,,,,
2,1.357,0,upper,0.36945055415528405,0.009064694865993955,,,,,
3,1.357,0,lower,0.2873192650655842,0.0069710706217706465,,,,,
4,1.357,ATE,upper,0.13245315810494213,0.013395149194024129,,,,,
5,1.357,ATE,lower,-0.07612618439487757,0.011833133836117898,,,,,
6,1.357,ATT,upper,0.1237289445278731,0.011640760217730875,,,,,
7,1.357,ATT,lower,-0.09194090113578492,0.01575285143839203,,,,,
8,1.357,ATC,upper,0.0663995323638605,0.01045776999131527,,,,,
9,1.357,ATC,lower,-0.13781888112727914,0.01535689882378286,,,,,
0,1.358,1,upper,0.41998268653337845,0.011941586572463301,,,,,
1,1.358,1,lower,0.29321494487143107,0.00839474102211299,,,,,
2,1.358,0,upper,0.36958300681646117,0.00906830109142226,,,,,
3,1.358,0,lower,0.28724738953382606,0.006969400600348787,,,,,
4,1.358,ATE,upper,0.13273529699955242,0.01339039628099403,,,,,
5,1.358,ATE,lower,-0.07636806194503,0.01183326471516866,,,,,
6,1.358,ATT,upper,0.12391768361882215,0.011638288481214105,,,,,
7,1.358,ATT,lower,-0.09228871066502034,0.015761751812210706,,,,,
8,1.358,ATC,upper,0.06657625771961212,0.010453862273493247,,,,,
9,1.358,ATC,lower,-0.1381584644519644,0.015351730043688993,,,,,
0,1.359,1,upper,0.4201805955377064,0.01194719449410023,,,,,
1,1.359,1,lower,0.29310568101982,0.00839146580064846,,,,,
2,1.359,0,upper,0.36971545947763806,0.009071907879793388,,,,,
3,1.359,0,lower,0.2871756197791567,0.006967733401013281,,,,,
4,1.359,ATE,upper,0.1330049757585497,0.013394339004218025,,,,,
5,1.359,ATE,lower,-0.07660977845781815,0.011833401248873852,,,,,
6,1.359,ATT,upper,0.12410614494804786,0.011635822208826597,,,,,
7,1.359,ATT,lower,-0.09263652019425567,0.01577065699899301,,,,,
8,1.359,ATC,upper,0.06675272299389824,0.010449962032627318,,,,,
9,1.359,ATC,lower,-0.13847809501795152,0.015360390590661056,,,,,
0,1.36,1,upper,0.42037847299501485,0.011952803508289638,,,,,
1,1.36,1,lower,0.2929965778503435,0.00838819578461298,,,,,
2,1.36,0,upper,0.3698479121388151,0.009075515230436166,,,,,
3,1.36,0,lower,0.2871039555682442,0.006966069016996623,,,,,
4,1.36,ATE,upper,0.13327451742677074,0.013398285113308416,,,,,
5,1.36,ATE,lower,-0.07685133428847166,0.011833543425328306,,,,,
6,1.36,ATT,upper,0.12429432912826006,0.011633361385647203,,,,,
7,1.36,ATT,lower,-0.09298432972349109,0.01577956698495352,,,,,
8,1.36,ATC,upper,0.06692892876042815,0.01044606925034718,,,,,
9,1.36,ATC,lower,-0.13879767463430304,0.015369054090495573,,,,,
0,1.361,1,upper,0.42057706090152736,0.01195840416691659,,,,,
1,1.361,1,lower,0.2928876350088162,0.00838493096212944,,,,,
2,1.361,0,upper,0.3699803647999921,0.009079123142680385,,,,,
3,1.361,0,lower,0.2870323966684424,0.006964407441552222,,,,,
4,1.361,ATE,upper,0.1335446642330849,0.013402226748864127,,,,,
5,1.361,ATE,lower,-0.07709272979117583,0.011833691232661411,,,,,
6,1.361,ATT,upper,0.12448223677036759,0.01163090599680379,,,,,
7,1.361,ATT,lower,-0.09333213925272647,0.015788481756354233,,,,,
8,1.361,ATC,upper,0.06710487559122466,0.010442183908338386,,,,,
9,1.361,ATC,lower,-0.13911840165312844,0.0153777146859066,,,,,
0,1.362,1,upper,0.4207748769821628,0.01196401534622606,,,,,
1,1.362,1,lower,0.292778852142093,0.00838167132135613,,,,,
2,1.362,0,upper,0.37011281746116903,0.00908273161585679,,,,,
3,1.362,0,lower,0.28696094284778867,0.00696274866795431,,,,,
4,1.362,ATE,upper,0.1338139341343741,0.01340617959328782,,,,,
5,1.362,ATE,lower,-0.07733396531907605,0.011833844659037,,,,,
6,1.362,ATT,upper,0.12466986848348528,0.011628456027473016,,,,,
7,1.362,ATT,lower,-0.09367994878196184,0.01579740129950439,,,,,
8,1.362,ATC,upper,0.06728056405663094,0.010438305988342151,,,,,
9,1.362,ATC,lower,-0.13943788214381964,0.015386384071506474,,,,,
0,1.363,1,upper,0.42097266172156633,0.01196962761166265,,,,,
1,1.363,1,lower,0.292670228898065,0.008378416850486585,,,,,
2,1.363,0,upper,0.37024527012234604,0.009086340649297092,,,,,
3,1.363,0,lower,0.28688959387500096,0.0069610926894978775,,,,,
4,1.363,ATE,upper,0.1340830678465654,0.013410135802397317,,,,,
5,1.363,ATE,lower,-0.07757504122428108,0.011834003692653212,,,,,
6,1.363,ATT,upper,0.1248572248749402,0.011626011462880182,,,,,
7,1.363,ATT,lower,-0.0940277583111972,0.015806325600760267,,,,,
8,1.363,ATC,upper,0.06745599472531605,0.010434435472155133,,,,,
9,1.363,ATC,lower,-0.1397573120172298,0.015395056387774941,,,,,
0,1.364,1,upper,0.4211704151886705,0.01197524096108254,,,,,
1,1.364,1,lower,0.2925617649256557,0.008375167537749466,,,,,
2,1.364,0,upper,0.37037772278352304,0.009089950242333956,,,,,
3,1.364,0,lower,0.2868183495194753,0.006959439499498581,,,,,
4,1.364,ATE,upper,0.13435206566919514,0.013414095369164391,,,,,
5,1.364,ATE,lower,-0.0778159578578674,0.01183416832174237,,,,,
6,1.364,ATT,upper,0.12504430655027876,0.01162357228829901,,,,,
7,1.364,ATT,lower,-0.09437556784043265,0.01581525464652506,,,,,
8,1.364,ATC,upper,0.06763116816428179,0.010430572341629241,,,,,
9,1.364,ATC,lower,-0.14007669138468748,0.01540373162735056,,,,,
0,1.365,1,upper,0.4213681374522054,0.011980855392348116,,,,,
1,1.365,1,lower,0.2924534598748177,0.008371923371408428,,,,,
2,1.365,0,upper,0.37051017544470005,0.009093560394301006,,,,,
3,1.365,0,lower,0.2867472095512839,0.006957789091292675,,,,,
4,1.365,ATE,upper,0.1346209279009215,0.013418058286581507,,,,,
5,1.365,ATE,lower,-0.07805671556988232,0.011834338534570851,,,,,
6,1.365,ATT,upper,0.1252311141132724,0.01162113848905148,,,,,
7,1.365,ATT,lower,-0.094723377369668,0.015824188423248606,,,,,
8,1.365,ATC,upper,0.06780608493886801,0.01042671657867143,,,,,
9,1.365,ATC,lower,-0.14039602035719453,0.015412409782896826,,,,,
0,1.366,1,upper,0.42156582858070024,0.011986470903327946,,,,,
1,1.366,1,lower,0.29234531339652853,0.00836868433976199,,,,,
2,1.366,0,upper,0.37064262810587706,0.00909717110453282,,,,,
3,1.366,0,lower,0.2866761737411717,0.006956141458236931,,,,,
4,1.366,ATE,upper,0.13488965483952847,0.013422024547661721,,,,,
5,1.366,ATE,lower,-0.07829731470934853,0.011834514319438966,,,,,
6,1.366,ATT,upper,0.125417648165925,0.011618710050507632,,,,,
7,1.366,ATT,lower,-0.09507118689890343,0.0158331269174273,,,,,
8,1.366,ATC,upper,0.06798074561275941,0.010422868165243486,,,,,
9,1.366,ATC,lower,-0.1407152990454282,0.01542109084710211,,,,,
0,1.367,1,upper,0.4217645557644134,0.011992074037521734,,,,,
1,1.367,1,lower,0.29223732514278705,0.008365450431143414,,,,,
2,1.367,0,upper,0.37077508076705407,0.009100782372364918,,,,,
3,1.367,0,lower,0.286605241860555,0.006954496593708558,,,,,
4,1.367,ATE,upper,0.13515931390385844,0.013425982932513987,,,,,
5,1.367,ATE,lower,-0.07853775562426703,0.011834695664680827,,,,,
6,1.367,ATT,upper,0.1256039093084785,0.011616286958085385,,,,,
7,1.367,ATT,lower,-0.09541899642813875,0.015842070115603853,,,,,
8,1.367,ATC,upper,0.0681551507479911,0.010419027083361853,,,,,
9,1.367,ATC,lower,-0.1410362510022278,0.01542976668850917,,,,,
0,1.368,1,upper,0.4219621869531176,0.01199769168302711,,,,,
1,1.368,1,lower,0.29212949476660943,0.008362221633920565,,,,,
2,1.368,0,upper,0.37090753342823113,0.009104394197133794,,,,,
3,1.368,0,lower,0.2865344136815181,0.006952854491105132,,,,,
4,1.368,ATE,upper,0.1354277732715995,0.013429955839033308,,,,,
5,1.368,ATE,lower,-0.07877803866162168,0.011834882558664227,,,,,
6,1.368,ATT,upper,0.12578989813942015,0.011613869197250356,,,,,
7,1.368,ATT,lower,-0.09576680595737419,0.015851018004367137,,,,,
8,1.368,ATC,upper,0.06832930090495497,0.010415193315097401,,,,,
9,1.368,ATC,lower,-0.1413554328854209,0.015438453552414298,,,,,
0,1.369,1,upper,0.4221597872080635,0.012003310401949241,,,,,
1,1.369,1,lower,0.2920218219220259,0.008358997936495792,,,,,
2,1.369,0,upper,0.37103998608940814,0.009108006578176875,,,,,
3,1.369,0,lower,0.28646368897681146,0.006951215143844514,,,,,
4,1.369,ATE,upper,0.13569609823125203,0.013433932068418294,,,,,
5,1.369,ATE,lower,-0.07901816416738212,0.011835074989790518,,,,,
6,1.369,ATT,upper,0.1259756152554882,0.011611456753515673,,,,,
7,1.369,ATT,lower,-0.09611461548660954,0.015859970570351992,,,,,
8,1.369,ATC,upper,0.06850319664240534,0.010411366842575254,,,,,
9,1.369,ATC,lower,-0.1416745648094182,0.015447143303246341,,,,,
0,1.37,1,upper,0.42238786318935384,0.01200058860096473,,,,,
1,1.37,1,lower,0.2919143062640769,0.008355779327305805,,,,,
2,1.37,0,upper,0.37117243875058503,0.009111619514832543,,,,,
3,1.37,0,lower,0.286393067519849,0.006949578545364774,,,,,
4,1.37,ATE,upper,0.13599479566950495,0.01343079929029603,,,,,
5,1.37,ATE,lower,-0.07925813248650819,0.011835272946494483,,,,,
6,1.37,ATT,upper,0.12616106125167884,0.011609049612441795,,,,,
7,1.37,ATT,lower,-0.09646242501584495,0.015868927800239085,,,,,
8,1.37,ATC,upper,0.06867683851746526,0.010407547647974571,,,,,
9,1.37,ATC,lower,-0.14204291619007162,0.015445861335614514,,,,,
0,1.371,1,upper,0.4225853106531182,0.01200619153025617,,,,,
1,1.371,1,lower,0.291806947448809,0.008352565794821538,,,,,
2,1.371,0,upper,0.3713048914117621,0.009115233006440121,,,,,
3,1.371,0,lower,0.28632254908470534,0.0069479446891241164,,,,,
4,1.371,ATE,upper,0.13626276156841277,0.013434765637213634,,,,,
5,1.371,ATE,lower,-0.07949794396295305,0.011835476417244212,,,,,
6,1.371,ATT,upper,0.1263462367212521,0.011606647759636322,,,,,
7,1.371,ATT,lower,-0.09681023454508034,0.015877889680754678,,,,,
8,1.371,ATC,upper,0.0688502270856323,0.010403735713528366,,,,,
9,1.371,ATC,lower,-0.14236180135050197,0.015454534976300732,,,,,
0,1.372,1,upper,0.4227827267037315,0.012011795544385261,,,,,
1,1.372,1,lower,0.29169974513327185,0.00834935732754803,,,,,
2,1.372,0,upper,0.37143734407293905,0.009118847052339889,,,,,
3,1.372,0,lower,0.2862521334461146,0.006946313568600806,,,,,
4,1.372,ATE,upper,0.1365305932576168,0.013438735298057612,,,,,
5,1.372,ATE,lower,-0.07973759893966723,0.011835685390540984,,,,,
6,1.372,ATT,upper,0.12653114225573853,0.011604251180753837,,,,,
7,1.372,ATT,lower,-0.0971580440743157,0.015886856198670505,,,,,
8,1.372,ATC,upper,0.06902336290078458,0.010399931021523286,,,,,
9,1.372,ATC,lower,-0.14268063577749912,0.01546321150125422,,,,,
0,1.373,1,upper,0.422980111409831,0.012017400641224175,,,,,
1,1.373,1,lower,0.2915926989755141,0.008346153914024308,,,,,
2,1.373,0,upper,0.37156979673411605,0.009122461651873063,,,,,
3,1.373,0,lower,0.2861818203794663,0.00694468517729309,,,,,
4,1.373,ATE,upper,0.13679829103036473,0.013442708265966257,,,,,
5,1.373,ATE,lower,-0.079977097758602,0.011835899854919141,,,,,
6,1.373,ATT,upper,0.12671577844494525,0.011601859861495697,,,,,
7,1.373,ATT,lower,-0.09750585360355106,0.015895827340803557,,,,,
8,1.373,ATC,upper,0.0691962465151864,0.010396133554299457,,,,,
9,1.373,ATC,lower,-0.14299941958191528,0.015471890903290382,,,,,
0,1.374,1,upper,0.42317746483985513,0.012023006818651214,,,,,
1,1.374,1,lower,0.2914858086345798,0.008342955542823242,,,,,
2,1.374,0,upper,0.37170224939529306,0.009126076804381803,,,,,
3,1.374,0,lower,0.28611160966080457,0.0069430595087191255,,,,,
4,1.374,ATE,upper,0.13706585517905062,0.013446684534097907,,,,,
5,1.374,ATE,lower,-0.08021644076071327,0.011836119798945973,,,,,
6,1.374,ATT,upper,0.12690014587696252,0.011599473787609872,,,,,
7,1.374,ATT,lower,-0.0978536631327865,0.015904803094015946,,,,,
8,1.374,ATC,upper,0.0693688784794945,0.010392343294250244,,,,,
9,1.374,ATC,lower,-0.14331815287428026,0.015480573175248855,,,,,
0,1.375,1,upper,0.4233747870620422,0.012028614074550782,,,,,
1,1.375,1,lower,0.29137907377050504,0.008339762202551447,,,,,
2,1.375,0,upper,0.37183470205647,0.009129692509209211,,,,,
3,1.375,0,lower,0.28604150106682436,0.006941436556416902,,,,,
4,1.375,ATE,upper,0.13733328599521782,0.013450664095630865,,,,,
5,1.375,ATE,lower,-0.080455628285965,0.01183634521122159,,,,,
6,1.375,ATT,upper,0.12708424513816952,0.011597092944890764,,,,,
7,1.375,ATT,lower,-0.09820147266202182,0.015913783445214692,,,,,
8,1.375,ATC,upper,0.0695412593427636,0.010388560223822084,,,,,
9,1.375,ATC,lower,-0.143636835764802,0.015489258309993379,,,,,
0,1.376,1,upper,0.42357207814443254,0.012034222406813365,,,,,
1,1.376,1,lower,0.29127249404431416,0.008336573881849134,,,,,
2,1.376,0,upper,0.371967154717647,0.00913330876569933,,,,,
3,1.376,0,lower,0.28597149437487035,0.006939816313944171,,,,,
4,1.376,ATE,upper,0.13760058376956225,0.013454646943763311,,,,,
5,1.376,ATE,lower,-0.08069466067333285,0.011836576080378802,,,,,
6,1.376,ATT,upper,0.12726807681324107,0.011594717319179037,,,,,
7,1.376,ATT,lower,-0.0985492821912572,0.015922768381351572,,,,,
8,1.376,ATC,upper,0.06971338965245237,0.010384784325514283,,,,,
9,1.376,ATC,lower,-0.1439554683633683,0.015497946300411711,,,,,
0,1.377,1,upper,0.4237693381548691,0.012039831813335499,,,,,
1,1.377,1,lower,0.29116606911801607,0.008333390569390009,,,,,
2,1.377,0,upper,0.372099607378824,0.009136925573197143,,,,,
3,1.377,0,lower,0.2859015893629337,0.006938198774878367,,,,,
4,1.377,ATE,upper,0.1378677487919354,0.013458633071713251,,,,,
5,1.377,ATE,lower,-0.080933538260808,0.011836812395083001,,,,,
6,1.377,ATT,upper,0.1274516414851535,0.011592346896361407,,,,,
7,1.377,ATT,lower,-0.09889709172049259,0.015931757889422957,,,,,
8,1.377,ATC,upper,0.06988526995442919,0.010381015581878832,,,,,
9,1.377,ATC,lower,-0.14427405077954777,0.015506637139415528,,,,,
0,1.378,1,upper,0.42396745387743245,0.01204543125629324,,,,,
1,1.378,1,lower,0.2910597986546008,0.008330212253881135,,,,,
2,1.378,0,upper,0.3722320600400011,0.009140542931048566,,,,,
3,1.378,0,lower,0.28583178580965013,0.0069365839328165415,,,,,
4,1.378,ATE,upper,0.13813566806778235,0.013462613231570114,,,,,
5,1.378,ATE,lower,-0.08117226138540021,0.011837054144032052,,,,,
6,1.378,ATT,upper,0.12763493973519086,0.011589981662370517,,,,,
7,1.378,ATT,lower,-0.09924490124972794,0.01594075195646961,,,,,
8,1.378,ATC,upper,0.07005690079297786,0.010377253975520204,,,,,
9,1.378,ATC,lower,-0.14459401520334414,0.01551532440477921,,,,,
0,1.379,1,upper,0.424185338245199,0.012040521488477701,,,,,
1,1.379,1,lower,0.29095368231803603,0.008327038924062823,,,,,
2,1.379,0,upper,0.37236451270117804,0.009144160838600453,,,,,
3,1.379,0,lower,0.2857620834942972,0.006934971781375281,,,,,
4,1.379,ATE,upper,0.1384232547509017,0.013457329345615898,,,,,
5,1.379,ATE,lower,-0.08141083038314197,0.01183730131595615,,,,,
6,1.379,ATT,upper,0.12781797214295115,0.011587621603184724,,,,,
7,1.379,ATT,lower,-0.09959271077896338,0.015949750569576555,,,,,
8,1.379,ATC,upper,0.0702282827108035,0.010373499489095175,,,,,
9,1.379,ATC,lower,-0.14494590674069727,0.01550925724917155,,,,,
0,1.38,1,upper,0.4243823103137863,0.012046111195236487,,,,,
1,1.38,1,lower,0.29084771977326346,0.008323870568708503,,,,,
2,1.38,0,upper,0.37249696536235505,0.00914777929520059,,,,,
3,1.38,0,lower,0.2856924821967928,0.006933362314190641,,,,,
4,1.38,ATE,upper,0.1386898281169935,0.01346130330120017,,,,,
5,1.38,ATE,lower,-0.08164924558909155,0.011837553899617725,,,,,
6,1.38,ATT,upper,0.12800073928635233,0.01158526670482793,,,,,
7,1.38,ATT,lower,-0.0999405203081987,0.01595875371587286,,,,,
8,1.38,ATC,upper,0.07039941624903803,0.010369752105312621,,,,,
9,1.38,ATC,lower,-0.1452640241198435,0.015517923309579166,,,,,
0,1.381,1,upper,0.42457925061922774,0.01205170198535899,,,,,
1,1.381,1,lower,0.29074191068619504,0.008320707176624602,,,,,
2,1.381,0,upper,0.372629418023532,0.009151398300197698,,,,,
3,1.381,0,lower,0.28562298169769157,0.006931755524918066,,,,,
4,1.381,ATE,upper,0.13895626892153617,0.013465280520126606,,,,,
5,1.381,ATE,lower,-0.08188750733733698,0.011837811883811312,,,,,
6,1.381,ATT,upper,0.12818324174163861,0.011582916953369429,,,,,
7,1.381,ATT,lower,-0.10028832983743413,0.015967761382531517,,,,,
8,1.381,ATC,upper,0.07057030194724624,0.01036601180693334,,,,,
9,1.381,ATC,lower,-0.14558209020030166,0.01552659221072839,,,,,
0,1.382,1,upper,0.42477615923047374,0.012057293856729587,,,,,
1,1.382,1,lower,0.29063625472371,0.008317548736650434,,,,,
2,1.382,0,upper,0.372761870684709,0.009155017852941429,,,,,
3,1.382,0,lower,0.2855535817781839,0.006930151407232332,,,,,
4,1.382,ATE,upper,0.13922257745228986,0.013469260995695894,,,,,
5,1.382,ATE,lower,-0.08212561596099902,0.011838075257363441,,,,,
6,1.382,ATT,upper,0.12836548008338602,0.01158057233492371,,,,,
7,1.382,ATT,lower,-0.10063613936666949,0.015976773556769217,,,,,
8,1.382,ATC,upper,0.07074094034343094,0.010362278576769862,,,,,
9,1.382,ATC,lower,-0.1459001050934292,0.015535263945601679,,,,,
0,1.383,1,upper,0.42497303621627536,0.012062886807238717,,,,,
1,1.383,1,lower,0.2905307515536508,0.008314395237658064,,,,,
2,1.383,0,upper,0.372894323345886,0.009158637952782362,,,,,
3,1.383,0,lower,0.2854842822200928,0.006928549954827453,,,,,
4,1.383,ATE,upper,0.1394887539961826,0.013473244721228139,,,,,
5,1.383,ATE,lower,-0.08236357179223526,0.011838344009132511,,,,,
6,1.383,ATT,upper,0.12854745488450917,0.01157823283565029,,,,,
7,1.383,ATT,lower,-0.10098394889590487,0.015985790225846265,,,,,
8,1.383,ATC,upper,0.07091133197403911,0.010358552397686255,,,,,
9,1.383,ATC,lower,-0.14621806891026165,0.01554393850720502,,,,,
0,1.384,1,upper,0.42516988164518466,0.012068480834782881,,,,,
1,1.384,1,lower,0.29042540084482005,0.008311246668552208,,,,,
2,1.384,0,upper,0.3730267760070629,0.009162258599072009,,,,,
3,1.384,0,lower,0.2854150828058717,0.00692695116141663,,,,,
4,1.384,ATE,upper,0.13975479883931302,0.013477231690062777,,,,,
5,1.384,ATE,lower,-0.08260137516224302,0.011838618128008689,,,,,
6,1.384,ATT,upper,0.12872916671626647,0.011575898441753557,,,,,
7,1.384,ATT,lower,-0.10133175842514022,0.015994811377066313,,,,,
8,1.384,ATC,upper,0.07108147737396717,0.010354833252597945,,,,,
9,1.384,ATC,lower,-0.14653598176151342,0.015552615888567798,,,,,
0,1.385,1,upper,0.4253666955855561,0.012074075937264596,,,,,
1,1.385,1,lower,0.29032020226697663,0.008308103018270101,,,,,
2,1.385,0,upper,0.37315922866824003,0.009165879791162805,,,,,
3,1.385,0,lower,0.2853459833186025,0.006925355020732164,,,,,
4,1.385,ATE,upper,0.14002071226695356,0.01348122189555854,,,,,
5,1.385,ATE,lower,-0.08283902640126337,0.011838897602913769,,,,,
6,1.385,ATT,upper,0.1289106161482667,0.01157356913948259,,,,,
7,1.385,ATT,lower,-0.10167956795437567,0.016003836997776272,,,,,
8,1.385,ATC,upper,0.07125137707656685,0.01035112112447153,,,,,
9,1.385,ATC,lower,-0.14685384375757934,0.015561296082742732,,,,,
0,1.386,1,upper,0.4255634781055466,0.012079672112592383,,,,,
1,1.386,1,lower,0.290215155490833,0.008304964275781385,,,,,
2,1.386,0,upper,0.37329168132941704,0.009169501528408109,,,,,
3,1.386,0,lower,0.2852769835419932,0.006923761526525396,,,,,
4,1.386,ATE,upper,0.14028649456355335,0.013485215331093335,,,,,
5,1.386,ATE,lower,-0.08307652583858403,0.011839182422801088,,,,,
6,1.386,ATT,upper,0.12909180374847476,0.01157124491513098,,,,,
7,1.386,ATT,lower,-0.10202737748361103,0.016012867075366102,,,,,
8,1.386,ATC,upper,0.07142103161365052,0.010347415996324584,,,,,
9,1.386,ATC,lower,-0.14717165500853555,0.01556997908280576,,,,,
0,1.387,1,upper,0.42582250454401505,0.012066613154939383,,,,,
1,1.387,1,lower,0.29011026018805064,0.008301830430087986,,,,,
2,1.387,0,upper,0.373424133990594,0.009173123810162212,,,,,
3,1.387,0,lower,0.28520808326037544,0.006922170672566629,,,,,
4,1.387,ATE,upper,0.14061442128363963,0.013473258552063005,,,,,
5,1.387,ATE,lower,-0.08331387380254332,0.011839472576655385,,,,,
6,1.387,ATT,upper,0.12927273008321752,0.011568925755036673,,,,,
7,1.387,ATT,lower,-0.10237518701284644,0.01602190159726867,,,,,
8,1.387,ATC,upper,0.07159044151549684,0.010343717851225492,,,,,
9,1.387,ATC,lower,-0.1475899925541893,0.015556365948803441,,,,,
0,1.388,1,upper,0.42601899899642603,0.012072173585669557,,,,,
1,1.388,1,lower,0.29000551603123786,0.008298701470224004,,,,,
2,1.388,0,upper,0.373556586651771,0.009176746635780317,,,,,
3,1.388,0,lower,0.2851392822587023,0.006920582452645063,,,,,
4,1.388,ATE,upper,0.1408797167377238,0.013477223378869228,,,,,
5,1.388,ATE,lower,-0.08355107062053313,0.011839768053492704,,,,,
6,1.388,ATT,upper,0.12945339571718967,0.011566611645581806,,,,,
7,1.388,ATT,lower,-0.10272299654208174,0.016030940550959574,,,,,
8,1.388,ATC,upper,0.07175960731085634,0.010340026672293253,,,,,
9,1.388,ATC,lower,-0.14790733856505314,0.015565008447922178,,,,,
0,1.389,1,upper,0.42621546079799477,0.012077735120409027,,,,,
1,1.389,1,lower,0.28990092269394524,0.008295577385255597,,,,,
2,1.389,0,upper,0.373689039312948,0.009180370004618554,,,,,
3,1.389,0,lower,0.28507058032254634,0.006918996860568718,,,,,
4,1.389,ATE,upper,0.14114488047544835,0.01348119144114376,,,,,
5,1.389,ATE,lower,-0.08378811661900275,0.011840068842360272,,,,,
6,1.389,ATT,upper,0.12963380121346002,0.011564302573192521,,,,,
7,1.389,ATT,lower,-0.10307080607131723,0.016039983923956985,,,,,
8,1.389,ATC,upper,0.07192852952695693,0.010336342442697297,,,,,
9,1.389,ATC,lower,-0.14822463184356507,0.015573653772461166,,,,,
0,1.39,1,upper,0.42641269746485555,0.012083287848802625,,,,,
1,1.39,1,lower,0.2897964798506632,0.008292458164280852,,,,,
2,1.39,0,upper,0.373821491974125,0.009183993916033974,,,,,
3,1.39,0,lower,0.2850019772380971,0.006917413890164376,,,,,
4,1.39,ATE,upper,0.1414107202267584,0.013485154396469912,,,,,
5,1.39,ATE,lower,-0.08402501212346183,0.011840374932336388,,,,,
6,1.39,ATT,upper,0.12981394713347666,0.011561998524338816,,,,,
7,1.39,ATT,lower,-0.10341861560055256,0.016049031703821468,,,,,
8,1.39,ATC,upper,0.07209720868950908,0.010332665145657309,,,,,
9,1.39,ATC,lower,-0.14854317655898236,0.015582296424281335,,,,,
0,1.391,1,upper,0.42660909566435135,0.012088851573144627,,,,,
1,1.391,1,lower,0.28969218717681783,0.008289343796429689,,,,,
2,1.391,0,upper,0.373953944635302,0.009187618369384542,,,,,
3,1.391,0,lower,0.2849334727921589,0.0069158335352774965,,,,,
4,1.391,ATE,upper,0.1416756228721924,0.013489128895862556,,,,,
5,1.391,ATE,lower,-0.08426175745848417,0.011840686312530308,,,,,
6,1.391,ATT,upper,0.12999383403707349,0.011559699485534368,,,,,
7,1.391,ATT,lower,-0.103766425129788,0.016058083878155854,,,,,
8,1.391,ATC,upper,0.07226564532271187,0.010328994764443045,,,,,
9,1.391,ATC,lower,-0.1488603671177288,0.01559094738391153,,,,,
0,1.392,1,upper,0.4268054614216672,0.01209441639511,,,,,
1,1.392,1,lower,0.2895880443487682,0.008286234270863729,,,,,
2,1.392,0,upper,0.374086397296479,0.009191243364029142,,,,,
3,1.392,0,lower,0.28486506677214884,0.006914255789772161,,,,,
4,1.392,ATE,upper,0.14194039464951835,0.013493106611063014,,,,,
5,1.392,ATE,lower,-0.0844983529477107,0.01184100297208214,,,,,
6,1.392,ATT,upper,0.1301734624824754,0.011557405443336373,,,,,
7,1.392,ATT,lower,-0.10411423465902334,0.01606714043460504,,,,,
8,1.392,ATC,upper,0.07243383994925766,0.010325331282374148,,,,,
9,1.392,ATC,lower,-0.1491775052811212,0.015599601148293415,,,,,
0,1.393,1,upper,0.4270017948066715,0.0120999823125688,,,,,
1,1.393,1,lower,0.28948405104380276,0.008283129576776191,,,,,
2,1.393,0,upper,0.374218849957656,0.009194868899327573,,,,,
3,1.393,0,lower,0.2847967589660943,0.006912680647530994,,,,,
4,1.393,ATE,upper,0.1422050358405773,0.013497087535546046,,,,,
5,1.393,ATE,lower,-0.08473479891385324,0.011841324900162724,,,,,
6,1.393,ATT,upper,0.1303528330263047,0.011555116384345377,,,,,
7,1.393,ATT,lower,-0.10446204418825875,0.016076201360855857,,,,,
8,1.393,ATC,upper,0.07260179309033829,0.010321674682819984,,,,,
9,1.393,ATC,lower,-0.1494945911619998,0.015608257710572023,,,,,
0,1.394,1,upper,0.42719809588903207,0.01210554932339717,,,,,
1,1.394,1,lower,0.2893802069401356,0.008280029703391771,,,,,
2,1.394,0,upper,0.3743513026188329,0.009198494974640549,,,,,
3,1.394,0,lower,0.28472854916263085,0.006911108102455101,,,,,
4,1.394,ATE,upper,0.14246954672640122,0.013501071662805132,,,,,
5,1.394,ATE,lower,-0.08497109567869733,0.011841652085973525,,,,,
