,Lambda,estimand,side,estimate,sterr_if,sterr_boot,bootmean,quantiles50,quantiles90,quantiles95
7,1.011,ATT,lower,0.028401195979657696,0.013097186605012063,,,,,
8,1.011,ATC,upper,-0.01573458183622479,0.012432288643399283,,,,,
9,1.011,ATC,lower,-0.022860356461885566,0.01261590205235199,,,,,
0,1.012,1,upper,0.34879399858844934,0.010102781097956582,,,,,
1,1.012,1,lower,0.34398311949742394,0.009952137768736834,,,,,
2,1.012,0,upper,0.3237543860492202,0.007859425887654712,,,,,
3,1.012,0,lower,0.320594369199954,0.007779419946688354,,,,,
4,1.012,ATE,upper,0.028199629388495438,0.012308433091767256,,,,,
5,1.012,ATE,lower,0.020228733448203706,0.012235687495360574,,,,,
6,1.012,ATT,upper,0.0363513244680696,0.012962750999936396,,,,,
7,1.012,ATT,lower,0.02805338645042227,0.013103111097923534,,,,,
8,1.012,ATC,upper,-0.015416274378407787,0.012424123128456714,,,,,
9,1.012,ATC,lower,-0.02318602700781677,0.012624351549658169,,,,,
0,1.013,1,upper,0.3489956474304025,0.010109104932341469,,,,,
1,1.013,1,lower,0.3437864188567866,0.009945987971911704,,,,,
2,1.013,0,upper,0.3238868387103972,0.007862790204115436,,,,,
3,1.013,0,lower,0.3204651667554704,0.0077761594677063246,,,,,
4,1.013,ATE,upper,0.02853048067493213,0.0123115761261386,,,,,
5,1.013,ATE,lower,0.019899580146389453,0.012232807142443108,,,,,
6,1.013,ATT,upper,0.036690599202095754,0.012957001939696058,,,,,
7,1.013,ATT,lower,0.027705576921186918,0.01310904992160257,,,,,
8,1.013,ATC,upper,-0.01509859536571988,0.01241597706817524,,,,,
9,1.013,ATC,lower,-0.023511697553747865,0.012632807812096686,,,,,
0,1.014,1,upper,0.34919729627235574,0.010115429526074153,,,,,
1,1.014,1,lower,0.3435901061858547,0.009939851061293203,,,,,
2,1.014,0,upper,0.3240192913715742,0.007866155384174947,,,,,
3,1.014,0,lower,0.32033621914815547,0.007772906266643403,,,,,
4,1.014,ATE,upper,0.02886107712420034,0.012314726515895165,,,,,
5,1.014,ATE,lower,0.019570814814280503,0.012229940030292593,,,,,
6,1.014,ATT,upper,0.03702920475518704,0.012951268492852608,,,,,
7,1.014,ATT,lower,0.027357767391951487,0.013115003027090292,,,,,
8,1.014,ATC,upper,-0.014781542938855715,0.012407850401683986,,,,,
9,1.014,ATC,lower,-0.023837368099679082,0.012641270815944015,,,,,
0,1.015,1,upper,0.349398945114309,0.0101217548777312,,,,,
1,1.015,1,lower,0.3433941803379197,0.009933726997956888,,,,,
2,1.015,0,upper,0.3241517440327512,0.007869521426725362,,,,,
3,1.015,0,lower,0.3202075256247958,0.007769660320547274,,,,,
4,1.015,ATE,upper,0.029191419489513145,0.012317884238608417,,,,,
5,1.015,ATE,lower,0.019242436305168524,0.012227086120529774,,,,,
6,1.015,ATT,upper,0.03736714310521799,0.012945550606294346,,,,,
7,1.015,ATT,lower,0.027009957862716132,0.013120970365615058,,,,,
8,1.015,ATC,upper,-0.014465115245837632,0.012399743068353692,,,,,
9,1.015,ATC,lower,-0.024163038645610195,0.01264974053757923,,,,,
0,1.016,1,upper,0.34960059395626214,0.010128080985892554,,,,,
1,1.016,1,lower,0.34319864017078766,0.00992761574313262,,,,,
2,1.016,0,upper,0.3242841966939281,0.007872888330660415,,,,,
3,1.016,0,lower,0.3200790854351435,0.007766421606558971,,,,,
4,1.016,ATE,upper,0.029521508521118636,0.012321049271941954,,,,,
5,1.016,ATE,lower,0.01891444347685951,0.01222424537492746,,,,,
6,1.016,ATT,upper,0.037704416222276514,0.01293984822712959,,,,,
7,1.016,ATT,lower,0.026662148333480726,0.013126951888591736,,,,,
8,1.016,ATC,upper,-0.014149310441978978,0.012391655007795502,,,,,
9,1.016,ATC,lower,-0.024488709191541395,0.012658216953483514,,,,,
0,1.017,1,upper,0.3498022427982153,0.010134407849141538,,,,,
1,1.017,1,lower,0.3430034845467573,0.009921517258203817,,,,,
2,1.017,0,upper,0.32441664935510517,0.007876256094875442,,,,,
3,1.017,0,lower,0.3199508978319016,0.007763190101912424,,,,,
4,1.017,ATE,upper,0.02985134496631372,0.012324221593651033,,,,,
5,1.017,ATE,lower,0.018586835191652086,0.012221417755409797,,,,,
6,1.017,ATT,upper,0.03804102606870162,0.012934161302685591,,,,,
7,1.017,ATT,lower,0.026314338804245385,0.013132947547620928,,,,,
8,1.017,ATC,upper,-0.013834126689848718,0.01238358615985982,,,,,
9,1.017,ATC,lower,-0.024814379737472497,0.012666700040239629,,,,,
0,1.018,1,upper,0.35000389164016854,0.010140735466064841,,,,,
1,1.018,1,lower,0.34280871233259724,0.009915431504706682,,,,,
2,1.018,0,upper,0.3245491020162822,0.007879624718267387,,,,,
3,1.018,0,lower,0.3198229620707092,0.007759965783933991,,,,,
4,1.018,ATE,upper,0.03018092956945929,0.01232740118158212,,,,,
5,1.018,ATE,lower,0.01825961031631501,0.012218603224051505,,,,,
6,1.018,ATT,upper,0.03837697459912201,0.012928489780507448,,,,,
7,1.018,ATT,lower,0.025966529275009965,0.013138957294488248,,,,,
8,1.018,ATC,upper,-0.013519562159235375,0.012375536464635115,,,,,
9,1.018,ATC,lower,-0.025140050283403707,0.012675189774531432,,,,,
0,1.019,1,upper,0.3502055404821217,0.01014706383525251,,,,,
1,1.019,1,lower,0.3426143223995248,0.009909358444329467,,,,,
2,1.019,0,upper,0.3246815546774591,0.0078829941997348,,,,,
3,1.019,0,lower,0.3196952774101277,0.007756748630041995,,,,,
4,1.019,ATE,upper,0.030510263071993983,0.012330588013672419,,,,,
5,1.019,ATE,lower,0.017932767722065656,0.012215801743077128,,,,,
6,1.019,ATT,upper,0.03871226376049341,0.012922833608357043,,,,,
7,1.019,ATT,lower,0.02561871974577461,0.01314498108116356,,,,,
8,1.019,ATC,upper,-0.013205615027112021,0.012367505862446775,,,,,
9,1.019,ATC,lower,-0.025465720829334803,0.012683686133143352,,,,,
0,1.02,1,upper,0.3504071893240749,0.01015339295529794,,,,,
1,1.02,1,lower,0.3424203136231838,0.009903298038911712,,,,,
2,1.02,0,upper,0.3248140073386362,0.00788636453817783,,,,,
3,1.02,0,lower,0.3195678431116257,0.007753538617746265,,,,,
4,1.02,ATE,upper,0.030839346212449225,0.012333782067949396,,,,,
5,1.02,ATE,lower,0.017606306284547717,0.012213013274860294,,,,,
6,1.02,ATT,upper,0.03904689549213674,0.01291719273421195,,,,,
7,1.02,ATT,lower,0.02527091021653919,0.013151018859800266,,,,,
8,1.02,ATC,upper,-0.012892283477600549,0.012359494293855936,,,,,
9,1.02,ATC,lower,-0.025791391375266027,0.012692189092959896,,,,,
0,1.021,1,upper,0.35060883816602806,0.010159722824797863,,,,,
1,1.021,1,lower,0.3422266848836233,0.00989725025044352,,,,,
2,1.021,0,upper,0.3249464599998131,0.007889735732498232,,,,,
3,1.021,0,lower,0.31944065843956543,0.007750335724647691,,,,,
4,1.021,ATE,upper,0.031168179726462616,0.01233698332253034,,,,,
5,1.021,ATE,lower,0.017280224883810185,0.012210237781922977,,,,,
6,1.021,ATT,upper,0.039380871725774765,0.01291156710626439,,,,,
7,1.021,ATT,lower,0.02492310068730385,0.013157070582734538,,,,,
8,1.021,ATC,upper,-0.01257956570193743,0.012351501699658353,,,,,
9,1.021,ATC,lower,-0.02611706192119714,0.012700698630965164,,,,,
0,1.022,1,upper,0.35081048700798123,0.010166053442352344,,,,,
1,1.022,1,lower,0.34203343506527517,0.0098912150410648,,,,,
2,1.022,0,upper,0.3250789126609901,0.007893107781599355,,,,,
3,1.022,0,lower,0.3193137226611883,0.0077471399284377625,,,,,
4,1.022,ATE,upper,0.03149676434679302,0.012340191755621907,,,,,
5,1.022,ATE,lower,0.016954522404285004,0.012207475226934765,,,,,
6,1.022,ATT,upper,0.0397141943855702,0.012905956672920169,,,,,
7,1.022,ATT,lower,0.024575291158068432,0.013163136202484611,,,,,
8,1.022,ATC,upper,-0.012267459898437924,0.012343528020883242,,,,,
9,1.022,ATC,lower,-0.02644273246712833,0.012709214724242327,,,,,
0,1.023,1,upper,0.3510121358499344,0.010172384806564759,,,,,
1,1.023,1,lower,0.3418405630569336,0.009885192373064554,,,,,
2,1.023,0,upper,0.32521136532216716,0.007896480684386137,,,,,
3,1.023,0,lower,0.31918703504660073,0.007743951206898124,,,,,
4,1.023,ATE,upper,0.03182510080333374,0.01234340734551966,,,,,
5,1.023,ATE,lower,0.016629197734766444,0.012204725572712129,,,,,
6,1.023,ATT,upper,0.04004686538816159,0.012900361382797631,,,,,
7,1.023,ATT,lower,0.024227481628833075,0.013169215671750039,,,,,
8,1.023,ATC,upper,-0.011955964272462441,0.012335573198792154,,,,,
9,1.023,ATC,lower,-0.026768403013059442,0.012717737349973161,,,,,
0,1.024,1,upper,0.3512137846918877,0.010178716916041804,,,,,
1,1.024,1,lower,0.3416480677517333,0.009879182208880124,,,,,
2,1.024,0,upper,0.3253438179833441,0.007899854439765123,,,,,
3,1.024,0,lower,0.31906059486876037,0.007740769537900121,,,,,
4,1.024,ATE,upper,0.03215318982312731,0.01234663007060761,,,,,
5,1.024,ATE,lower,0.016304249768389106,0.012201988782217696,,,,,
6,1.024,ATT,upper,0.04037888664270115,0.012894781184726594,,,,,
7,1.024,ATT,lower,0.02387967209959765,0.013175308943410976,,,,,
8,1.024,ATC,upper,-0.011645077036381377,0.012327637174877835,,,,,
9,1.024,ATC,lower,-0.02709407355899064,0.01272626648543754,,,,,
0,1.025,1,upper,0.3514154335338408,0.010185049769393467,,,,,
1,1.025,1,lower,0.3414559480471285,0.009873184511096492,,,,,
2,1.025,0,upper,0.3254762706445211,0.007903229046644436,,,,,
3,1.025,0,lower,0.3189344014034622,0.007737594899404361,,,,,
4,1.025,ATE,upper,0.03248103213037866,0.012349859909357797,,,,,
5,1.025,ATE,lower,0.01597967740260735,0.012199264818559527,,,,,
6,1.025,ATT,upper,0.04071026005089031,0.012889216027747341,,,,,
7,1.025,ATT,lower,0.023531862570362307,0.01318141597052745,,,,,
8,1.025,ATC,upper,-0.011334796409541511,0.01231971989086312,,,,,
9,1.025,ATC,lower,-0.027419744104921748,0.012734802108012956,,,,,
0,1.026,1,upper,0.35161708237579403,0.010191383365233037,,,,,
1,1.026,1,lower,0.3412642028448718,0.009867199242445543,,,,,
2,1.026,0,upper,0.3256087233056981,0.007906604503933797,,,,,
3,1.026,0,lower,0.3188084539293244,0.007734427269460276,,,,,
4,1.026,ATE,upper,0.03280862844646967,0.012353096840329817,,,,,
5,1.026,ATE,lower,0.01565547953917366,0.012196553644990405,,,,,
6,1.026,ATT,upper,0.04104098750701682,0.012883665861109556,,,,,
7,1.026,ATT,lower,0.02318405304112689,0.013187536706338633,,,,,
8,1.026,ATC,upper,-0.011025120618231446,0.012311821288699802,,,,,
9,1.026,ATC,lower,-0.027745414650852968,0.012743344195174037,,,,,
0,1.027,1,upper,0.3518187312177472,0.010197717702177079,,,,,
1,1.027,1,lower,0.34107283105099356,0.009861226365805349,,,,,
2,1.027,0,upper,0.32574117596687513,0.007909980810544502,,,,,
3,1.027,0,lower,0.318682751727775,0.0077312666262056755,,,,,
4,1.027,ATE,upper,0.03313597948997222,0.012356340842170398,,,,,
5,1.027,ATE,lower,0.01533165508411839,0.012193855224907124,,,,,
6,1.027,ATT,upper,0.04137107089799008,0.012878130634271324,,,,,
7,1.027,ATT,lower,0.02283624351189154,0.013193671104262141,,,,,
8,1.027,ATC,upper,-0.010716047895648506,0.01230394131056754,,,,,
9,1.027,ATC,lower,-0.028071085196784088,0.01275189272449205,,,,,
0,1.028,1,upper,0.3520203800597004,0.010204052778845438,,,,,
1,1.028,1,lower,0.34088183157578034,0.009855265844199459,,,,,
2,1.028,0,upper,0.3258736286280522,0.007913357965389447,,,,,
3,1.028,0,lower,0.31855729408303796,0.007728112947866313,,,,,
4,1.028,ATE,upper,0.033463085976662484,0.012359591893612949,,,,,
5,1.028,ATE,lower,0.01500820294772816,0.012191169521849763,,,,,
6,1.028,ATT,upper,0.041700512103377926,0.012872610296898093,,,,,
7,1.028,ATT,lower,0.022488433982656108,0.013199819117893306,,,,,
8,1.028,ATC,upper,-0.010407576481864272,0.01229607989887273,,,,,
9,1.028,ATC,lower,-0.028396755742715274,0.01276044767363445,,,,,
0,1.029,1,upper,0.3522220289016536,0.010210388593861214,,,,,
1,1.029,1,lower,0.3406912033337551,0.009849317640796204,,,,,
2,1.029,0,upper,0.32600608128922914,0.0079167359673831,,,,,
3,1.029,0,lower,0.31843208028211967,0.00772496621275545,,,,,
4,1.029,ATE,upper,0.033789948619533945,0.012362849973477133,,,,,
5,1.029,ATE,lower,0.014685122044525968,0.012188496499501014,,,,,
6,1.029,ATT,upper,0.042029312995441305,0.012867104798861663,,,,,
7,1.029,ATT,lower,0.022140624453420767,0.013205980701004462,,,,,
8,1.029,ATC,upper,-0.010099704623792007,0.012288236996247441,,,,,
9,1.029,ATC,lower,-0.0287224262886464,0.012769009020364371,,,,,
0,1.03,1,upper,0.35242367774360683,0.010216725145850772,,,,,
1,1.03,1,lower,0.34050094524365615,0.009843381718907968,,,,,
2,1.03,0,upper,0.32613853395040615,0.007920114815441508,,,,,
3,1.03,0,lower,0.31830710961479536,0.007721826399273431,,,,,
4,1.03,ATE,upper,0.03411656812881146,0.012366115060668429,,,,,
5,1.03,ATE,lower,0.014362411293249984,0.012185836121685445,,,,,
6,1.03,ATT,upper,0.04235747543917062,0.01286161409023918,,,,,
7,1.03,ATT,lower,0.021792814924185364,0.013212155807544246,,,,,
8,1.03,ATC,upper,-0.009792430575152864,0.012280412545548298,,,,,
9,1.03,ATC,lower,-0.029048096834577597,0.012777576742540183,,,,,
0,1.031,1,upper,0.3526253265855599,0.010223062433443713,,,,,
1,1.031,1,lower,0.34031105622841673,0.009837458041990509,,,,,
2,1.031,0,upper,0.3262709866115831,0.007923494508482301,,,,,
